COUNTRY,GENDER,ENJMATH,PARENJMATH,WEALTH,TEACHERCLASSMANAG,COGNITIVEACTIV,TEACHSTUDRELAT,PV1MATH,PV2MATH,PV3MATH,PV4MATH,PV5MATH
United Arab Emirates,Female,Disagree,Disagree,0.11,0.2299,-0.0913,0.3536,350.6076,371.6389,342.8182,366.1863,368.5231
United Arab Emirates,Female,Agree,Disagree,-0.38,0.2299,0.2384,0.3536,447.2737,443.379,442.6001,451.9473,441.0422
United Arab Emirates,Female,Agree,Agree,0.11,0.9208,0.1731,0.3536,575.4868,559.1291,580.1605,572.3711,531.0874
United Arab Emirates,Female,Disagree,Agree,-0.84,0.3431,0.3058,0.0111,469.084,464.4103,493.231,518.936,439.4843
United Arab Emirates,Female,Strongly agree,Agree,-0.84,0.3431,0.87,0.0809,480.76800000000003,427.8003,462.8525,478.4312,505.694
United Arab Emirates,Female,Agree,Agree,1.0,0.484,0.537,0.4759,484.8964,458.4125,456.0757,492.6858,481.7807
United Arab Emirates,Female,Agree,Strongly agree,0.37,0.9208,0.2717,1.26,489.4142,462.9304,445.7937,466.0461,462.9304
United Arab Emirates,Female,Agree,Disagree,1.99,-1.3537,-0.3452,-0.8079,500.4752,502.81199999999995,518.3907,557.3376,505.9277
United Arab Emirates,Female,Strongly agree,Strongly agree,0.11,2.1445,0.87,2.8211,572.0595,586.0804,508.1866,576.7331,555.7018
United Arab Emirates,Female,Agree,Disagree,-0.61,0.0505,0.494,-0.1113,480.1449,508.9656,510.5234,513.6392,544.7967
United Arab Emirates,Female,Disagree,Agree,-0.84,0.1346,0.3769,1.0099,529.5295,478.8986,513.9508,509.2771,548.224
United Arab Emirates,Female,Strongly agree,Strongly agree,3.09,-0.1679,-0.0913,1.0099,496.3468,501.0204,535.2937,508.8098,494.7889
United Arab Emirates,Female,Disagree,Strongly agree,3.09,-0.3798,-0.1659,-0.387,425.1519,450.0779,435.2781,417.3625,424.37300000000005
United Arab Emirates,Female,Strongly disagree,Strongly disagree,3.09,-2.8224,-2.2454,-1.6365,452.6484,405.9121,418.3751,483.027,447.1958
United Arab Emirates,Female,Agree,Agree,-0.61,-0.237,0.0766,-0.4474,426.3203,451.2463,460.5936,438.7833,393.6049
United Arab Emirates,Female,Strongly agree,Strongly agree,0.67,-0.0983,0.1731,0.1593,406.8469,423.2045,420.0888,377.2472,455.9199
United Arab Emirates,Female,Agree,Agree,3.09,-0.0983,0.8023,0.1593,488.0122,443.6127,471.6545,439.718,493.4647
United Arab Emirates,Female,Disagree,Agree,1.99,0.2299,0.7405,0.2492,400.0701,403.9648,410.1963,436.6802,446.8064
United Arab Emirates,Female,Agree,Agree,1.99,-0.3798,-0.1659,-0.4474,474.5365,470.6418,457.3999,500.2415,442.6001
United Arab Emirates,Female,Disagree,Strongly agree,3.09,0.2299,0.3058,0.4759,360.1885,420.9456,361.7464,393.6828,403.0301
United Arab Emirates,Female,Agree,Agree,1.0,0.2299,-0.2489,-0.6831,433.4086,476.2502,475.4713,468.4608,464.5661
United Arab Emirates,Female,Strongly disagree,Strongly disagree,-0.84,-0.3069,0.3408,-1.6365,301.5345,336.5867,328.7973,279.7243,324.9026
United Arab Emirates,Female,Agree,Agree,-1.51,-0.3069,-1.0353,-1.3056,279.3348,283.2295,337.7551,323.7342,314.387
United Arab Emirates,Female,Agree,Agree,-0.84,0.2299,0.2717,0.4759,280.5811,272.7917,302.3913,293.0441,282.139
United Arab Emirates,Female,Strongly agree,Agree,-0.26,-0.9781,-1.5051,-2.0157,238.5964,197.3127,258.0698,205.88099999999997,201.9863
United Arab Emirates,Female,Strongly agree,Strongly agree,-1.29,0.484,1.6179,-0.8079,315.6333,349.1276,287.5915,324.2016,289.9283
United Arab Emirates,Female,Agree,Strongly agree,-0.14,0.484,1.4681,2.8211,314.3091,315.867,312.7512,306.5197,322.8774
United Arab Emirates,Female,Strongly agree,Strongly agree,-0.28,0.1346,0.4532,0.1593,337.13199999999995,366.7316,315.3217,357.3843,245.2173
United Arab Emirates,Female,Strongly agree,Strongly agree,-0.38,0.669,3.4603,-0.387,226.9123,269.7539,254.1751,272.8696,201.9863
United Arab Emirates,Male,Strongly agree,Agree,-1.06,0.0505,0.2717,0.1593,563.0238,522.5191,563.8028,522.5191,555.2345
United Arab Emirates,Male,Strongly agree,Agree,-0.14,0.1346,0.6838,0.2492,688.9780000000001,702.9989,669.5046,717.7987,664.052
United Arab Emirates,Male,Strongly agree,Strongly agree,-0.14,-0.237,-0.2489,-0.8079,561.7775,574.2405,556.325,604.6191,588.2614
United Arab Emirates,Male,Disagree,Disagree,1.42,-0.237,0.1731,-0.3303,582.8867,585.2236,565.7501,624.1704,543.1609
United Arab Emirates,Male,Agree,Agree,0.37,-2.8224,-0.8636,-2.6658,541.2136,501.4878,546.6661,503.0456,525.6348
United Arab Emirates,Male,Agree,Agree,0.36,-0.3798,0.2384,-0.6831,523.6096,472.1997,499.4625,563.3354,499.4625
United Arab Emirates,Male,Disagree,Strongly agree,0.37,-0.5455,0.2055,0.1593,552.5861,614.1221,600.1013,593.8698,597.7644
United Arab Emirates,Male,Strongly agree,Strongly agree,-0.61,0.3431,1.0272,0.2492,525.479,594.8045,551.9629,565.2049,527.8159
United Arab Emirates,Male,Agree,Strongly agree,0.67,0.2299,-0.0219,-0.3303,501.2541,530.0748,531.6327,506.7067,501.2541
United Arab Emirates,Female,Disagree,Agree,-0.14,0.3431,0.3058,0.4759,472.4334,485.6753,449.8442,491.9068,502.033
United Arab Emirates,Female,Agree,Agree,-0.38,-0.0983,0.0766,0.6209,590.8319,537.8642,590.8319,556.5587,552.664
United Arab Emirates,Female,Agree,Strongly agree,-1.74,2.1445,1.1192,1.5296,402.9522,388.1524,444.2359,413.8573,409.1837
United Arab Emirates,Female,Agree,Agree,-0.38,0.1346,-0.3452,-0.0524,582.731,575.7205,534.4368,595.194,552.3524
United Arab Emirates,Female,Strongly agree,Strongly agree,0.11,-0.0983,0.2384,0.1593,526.7253,537.6305,499.4625,490.8942,530.62
United Arab Emirates,Female,Strongly agree,Strongly agree,-0.38,0.1346,0.4142,0.1593,574.7079,587.9498,573.15,563.8028,584.0551
United Arab Emirates,Female,Strongly agree,Strongly agree,-0.61,0.0505,-0.5365,-0.1113,546.3546,528.439,585.3014,544.7967,574.3963
United Arab Emirates,Female,Disagree,Agree,-1.74,0.1346,1.7932,2.1817,493.6984,472.6671,522.5191,504.6035,503.0456
United Arab Emirates,Female,Strongly agree,Agree,-0.84,1.2559,0.3769,0.3536,619.5747,605.5538,649.1743,613.3432,621.9115
United Arab Emirates,Female,Strongly disagree,Disagree,-0.61,-0.0983,0.6314,-0.1113,391.2681,382.6998,374.1315,362.4474,388.9313
United Arab Emirates,Female,Disagree,Agree,0.11,-2.8224,-1.2488,-2.6658,477.6523,494.01,508.0308,481.54699999999997,477.6523
United Arab Emirates,Female,Strongly agree,Agree,-0.38,-0.237,0.1731,-0.1113,540.7462,502.5783,529.8411,562.5565,494.01
United Arab Emirates,Male,Agree,Agree,-0.38,-0.4581,-0.0913,-0.387,389.7102,466.0461,497.9826,395.1628,441.1201
United Arab Emirates,Male,Strongly agree,Strongly agree,-0.38,-0.7808,-1.2488,-1.0029,409.8847,339.0014,386.5166,350.6855,364.7063
United Arab Emirates,Male,Agree,Agree,0.11,-0.3798,-0.623,-0.1113,541.6809,500.3973,512.8603,513.6392,513.6392
United Arab Emirates,Male,Agree,Strongly agree,0.37,0.0505,1.0272,0.2492,488.2458,495.2563,527.1927,549.003,495.2563
United Arab Emirates,Male,Strongly agree,Agree,-1.06,2.1445,2.6679,1.8217,483.1827,484.7406,476.1723,469.1619,470.7197
United Arab Emirates,Male,Strongly agree,Strongly agree,-0.38,0.1346,0.4142,0.6209,481.0796,479.5217,456.1536,399.2912,432.0065
United Arab Emirates,Female,Disagree,Agree,1.0,0.9208,0.6314,1.0099,613.4211,572.1374,618.8737,614.2,618.8737
United Arab Emirates,Male,Disagree,Disagree,1.99,0.9208,0.8023,1.8217,559.9081,563.8028,581.7183,591.8445,586.3919999999999
United Arab Emirates,Male,Strongly agree,Strongly agree,1.42,-0.237,0.494,0.0809,509.2771,452.4147,517.8455,510.835,465.6566
United Arab Emirates,Male,Strongly agree,Agree,1.99,-0.7808,-0.5365,-1.0029,518.3907,526.1801,515.275,529.2958,555.0008
United Arab Emirates,Female,Strongly disagree,Disagree,1.42,-2.8224,-3.0674,-2.6658,455.0631,409.8847,402.0953,414.5583,441.0422
United Arab Emirates,Male,Disagree,Agree,0.37,0.3431,0.494,0.2492,570.268,571.8258,597.5308,569.489,585.0678
United Arab Emirates,Male,Strongly agree,Agree,0.11,0.669,0.0766,0.3536,609.4485,572.8384,600.8802,579.8489,566.6069
United Arab Emirates,Male,Disagree,Strongly agree,1.0,0.484,0.494,0.6209,675.5803,672.4646,707.5167,643.6439,621.8336
United Arab Emirates,Female,Disagree,Agree,1.0,0.2299,0.4142,0.3536,485.4417,535.2937,532.1779,532.9568,515.8202
United Arab Emirates,Female,Agree,Disagree,1.42,0.484,0.9446,0.6209,529.2179,605.5538,590.754,569.7227,587.6383
United Arab Emirates,Male,Agree,Agree,-0.38,-0.4581,0.4532,0.2492,674.8793,669.4267,699.0263,657.7426,589.9751
United Arab Emirates,Male,Disagree,Agree,-0.38,-0.0983,0.1409,-0.1113,661.17,637.0229,664.2857,643.2544,643.2544
United Arab Emirates,Male,Disagree,Agree,-0.8,0.2299,0.4142,0.2492,428.5792,456.621,431.695,428.5792,431.695
United Arab Emirates,Male,Agree,Strongly agree,0.11,0.0505,0.3408,0.1593,514.7297,505.3825,577.0447,549.003,567.6975
United Arab Emirates,Male,Disagree,Agree,0.67,-0.237,-0.2489,-0.2217,563.5691,574.4742,565.9059,580.7057,604.0738
United Arab Emirates,Male,Disagree,Agree,-0.38,-0.0983,0.4142,0.3536,614.6674,560.9207,581.952,585.0678,571.0469
United Arab Emirates,Male,Strongly agree,Strongly agree,-0.84,0.669,0.87,0.7959,596.3624,683.6034,675.0351,634.5303,583.1204
United Arab Emirates,Male,Agree,Strongly agree,-0.38,-0.3798,-0.2489,-0.3303,555.7018,585.3014,535.4494,541.6809,558.8176
United Arab Emirates,Male,Disagree,Agree,-0.14,0.484,3.4603,2.8211,462.0735,460.5157,470.6418,473.7576,493.231
United Arab Emirates,Male,Agree,Agree,0.37,0.9208,0.87,1.26,450.6232,447.5074,471.6545,495.0226,473.2123
United Arab Emirates,Female,Agree,Agree,-1.29,2.1445,3.4603,2.8211,337.9109,337.9109,334.0162,405.6785,388.5418
United Arab Emirates,Female,Disagree,Strongly disagree,0.36,0.669,0.6838,0.7959,294.5241,343.5971,334.2499,349.0497,239.9984
United Arab Emirates,Male,Disagree,Agree,0.11,-0.1679,0.1088,-0.1113,364.7063,334.3278,336.6646,376.3904,367.0432
United Arab Emirates,Male,Strongly disagree,Disagree,1.0,0.9208,0.6314,1.0099,578.8363,606.878,549.2366,581.1731,606.878
United Arab Emirates,Male,Strongly agree,Strongly agree,0.37,-0.9781,-0.623,-0.8079,350.8413,342.2729,338.3783,270.6107,306.4418
United Arab Emirates,Male,Agree,Agree,-0.14,0.2299,1.1192,1.0099,365.4853,335.1067,356.917,351.4644,376.3904
United Arab Emirates,Male,Agree,Agree,1.42,-0.7808,-0.2489,-0.2217,515.7423,516.5213,509.5108,547.6788,503.2793
United Arab Emirates,Male,Disagree,Agree,-0.33,0.3431,0.2055,-0.1673,395.5523,410.3521,404.8995,374.52099999999996,467.2145
United Arab Emirates,Male,Agree,Agree,1.0,2.9734,-3.0674,2.8211,391.9692,388.8534,356.13800000000003,397.4217,391.9692
United Arab Emirates,Male,Disagree,Strongly agree,-0.38,2.9734,0.7405,-0.1113,408.0153,431.3834,425.1519,398.668,394.7733
United Arab Emirates,Male,Strongly disagree,Disagree,1.42,0.669,0.4532,1.0099,449.1432,442.1327,424.9961,506.0056,478.7428
United Arab Emirates,Male,Agree,Agree,-0.14,2.1445,0.3058,0.6209,512.0813,538.5652,512.8603,481.7028,534.6705
United Arab Emirates,Male,Strongly agree,Strongly agree,3.09,2.9734,0.1731,-0.1113,477.10699999999997,404.6658,420.2446,400.7711,458.4125
United Arab Emirates,Male,Strongly disagree,Agree,1.42,2.1445,0.5827,0.4759,533.9695,494.2437,477.10699999999997,480.2228,516.8328
United Arab Emirates,Male,Disagree,Strongly agree,0.67,-0.3798,-1.3911,-0.1673,444.9369,397.4217,494.01,483.8838,446.4948
United Arab Emirates,Male,Disagree,Agree,3.09,-0.0721,-0.20600000000000002,-0.1113,301.6903,394.3839,322.7216,334.4057,325.0584
United Arab Emirates,Male,Strongly agree,Agree,1.0,-0.9781,-0.5365,-1.6365,362.5253,307.2208,339.9361,372.6515,336.8204
United Arab Emirates,Male,Strongly agree,Agree,1.0,-0.9781,-1.0353,-2.0157,325.2142,344.6876,378.9609,268.3518,390.645
United Arab Emirates,Male,Strongly agree,Strongly agree,0.49,-0.9781,-1.2488,-0.8079,295.8483,175.1129,274.8169,245.2173,214.0598
United Arab Emirates,Male,Strongly disagree,Strongly disagree,-0.38,-1.9363,-2.2454,-1.6365,266.015,251.2151,329.1089,333.7825,291.7199
United Arab Emirates,Male,Agree,Strongly agree,-2.61,-0.237,0.4532,-0.1009,283.6968,291.4862,268.1181,315.6333,307.065
United Arab Emirates,Female,Strongly agree,Strongly agree,1.0,-0.0262,-0.1659,-1.0029,287.9031,301.145,324.5132,300.3661,314.387
United Arab Emirates,Female,Agree,Disagree,0.11,-0.237,-0.1278,-0.1113,438.0044,483.9617,371.7947,454.3621,401.3943
United Arab Emirates,Female,Agree,Disagree,0.67,-0.0983,0.537,-0.1113,255.0319,265.9371,319.6838,280.7369,356.2938
United Arab Emirates,Female,Strongly disagree,Strongly disagree,-0.14,-2.8224,-2.2454,-1.6365,408.4047,377.2472,381.1419,379.584,397.4996
